Id,Value,IngredientId,NutrientTypeId
79dc94c1-6655-45fd-a994-989bf7c34e4d,0.37,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073ea4a-2822-11f0-8a90-d85ed33237df
7b377f8c-f3f7-459a-a127-5a85443b3278,0.01,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073911a-2822-11f0-8a90-d85ed33237df
81d91590-4df4-4c85-943c-2882e74d62c0,0.05,bdf92605-5be0-462a-9356-57a646a3e5a1,5073968c-2822-11f0-8a90-d85ed33237df
82c4b8ea-0c33-4629-979c-10ab5e3fb32d,9.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073dd24-2822-11f0-8a90-d85ed33237df
83005bbd-7b54-407f-98d9-d239dca9ed2f,0.07,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073d4aa-2822-11f0-8a90-d85ed33237df
8d2351cc-49dd-4cae-bb7e-bbdc67c1df51,2.07,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,507392cc-2822-11f0-8a90-d85ed33237df
8faeb2ac-c958-434b-ad83-b384c3ec3f6f,15.0,3845c68a-ac78-4587-a56b-0e2028f7a9cf,5073db2b-2822-11f0-8a90-d85ed33237df
8fe0927b-21f1-4e74-a94b-4d8b57a4f755,0.08,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,50739850-2822-11f0-8a90-d85ed33237df
91943def-16a8-40f1-811c-c4c17451d9d5,171.0,bdf92605-5be0-462a-9356-57a646a3e5a1,5073df15-2822-11f0-8a90-d85ed33237df
9321399f-36e7-40c9-b5c6-4d31e535f80c,0.11,bdf92605-5be0-462a-9356-57a646a3e5a1,50738505-2822-11f0-8a90-d85ed33237df
9dba9a27-b873-4b23-8cab-f7c91d63f788,0.6,bdf92605-5be0-462a-9356-57a646a3e5a1,5073d91b-2822-11f0-8a90-d85ed33237df
9dc485ce-2dc4-4368-ac55-aa7381d373d4,2.7,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073ec15-2822-11f0-8a90-d85ed33237df
a2b20a85-5be5-4e9c-8233-bbc1c4907431,89.0,bdf92605-5be0-462a-9356-57a646a3e5a1,5073bcf4-2822-11f0-8a90-d85ed33237df
a3fa0cee-53b2-402a-9fe1-176cc56ee4e6,0.09,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073cd96-2822-11f0-8a90-d85ed33237df
a427d6e4-1b5c-45f1-ae97-4beb0f9cde83,2.1,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,50738f5c-2822-11f0-8a90-d85ed33237df
a640bb65-5b5d-4a4a-bf68-3a34f79da1cf,0.8,0f4aba40-1ad3-4fbd-a835-f8772a8d29d5,5073d081-2822-11f0-8a90-d85ed33237df
